Recieved: R_MIN=00, G_MIN=0d, B_MIN=02, A_MIN=05

Expected: R_MIN=0a, G_MIN=03, B_MIN=09, A_MIN=08
Recieved: R_MIN=0a, G_MIN=03, B_MIN=09, A_MIN=08

Expected: R_MIN=15, G_MIN=10, B_MIN=09, A_MIN=0d
Recieved: R_MIN=15, G_MIN=10, B_MIN=09, A_MIN=0d

Expected: R_MIN=01, G_MIN=00, B_MIN=02, A_MIN=03
Recieved: R_MIN=01, G_MIN=00, B_MIN=02, A_MIN=03

Expected: R_MIN=05, G_MIN=00, B_MIN=06, A_MIN=04
Recieved: R_MIN=05, G_MIN=00, B_MIN=06, A_MIN=04

Expected: R_MIN=0d, G_MIN=00, B_MIN=01, A_MIN=0d
Recieved: R_MIN=0d, G_MIN=00, B_MIN=01, A_MIN=0d

Expected: R_MIN=03, G_MIN=07, B_MIN=01, A_MIN=10
Recieved: R_MIN=03, G_MIN=07, B_MIN=01, A_MIN=10

Expected: R_MIN=05, G_MIN=04, B_MIN=05, A_MIN=1b
Recieved: R_MIN=05, G_MIN=04, B_MIN=05, A_MIN=1b

Expected: R_MIN=08, G_MIN=09, B_MIN=0c, A_MIN=03
Recieved: R_MIN=08, G_MIN=09, B_MIN=0c, A_MIN=03

Expected: R_MIN=15, G_MIN=00, B_MIN=0d, A_MIN=11
Recieved: R_MIN=15, G_MIN=00, B_MIN=0d, A_MIN=11

Expected: R_MIN=02, G_MIN=00, B_MIN=02, A_MIN=03
Recieved: R_MIN=02, G_MIN=00, B_MIN=02, A_MIN=03

Expected: R_MIN=02, G_MIN=04, B_MIN=26, A_MIN=0b
Recieved: R_MIN=02, G_MIN=04, B_MIN=26, A_MIN=0b

Expected: R_MIN=04, G_MIN=09, B_MIN=0c, A_MIN=02
Recieved: R_MIN=04, G_MIN=09, B_MIN=0c, A_MIN=02

Expected: R_MIN=04, G_MIN=04, B_MIN=11, A_MIN=04
Recieved: R_MIN=04, G_MIN=04, B_MIN=11, A_MIN=04

Expected: R_MIN=07, G_MIN=02, B_MIN=14, A_MIN=03
Recieved: R_MIN=07, G_MIN=02, B_MIN=14, A_MIN=03

Expected: R_MIN=02, G_MIN=00, B_MIN=0c, A_MIN=03
Recieved: R_MIN=02, G_MIN=00, B_MIN=0c, A_MIN=03

Expected: R_MIN=00, G_MIN=07, B_MIN=0e, A_MIN=01
Recieved: R_MIN=00, G_MIN=07, B_MIN=0e, A_MIN=01

Expected: R_MIN=07, G_MIN=10, B_MIN=01, A_MIN=01
Recieved: R_MIN=07, G_MIN=10, B_MIN=01, A_MIN=01

Expected: R_MIN=03, G_MIN=09, B_MIN=0e, A_MIN=03
Recieved: R_MIN=03, G_MIN=09, B_MIN=0e, A_MIN=03

Expected: R_MIN=0a, G_MIN=01, B_MIN=00, A_MIN=06
Recieved: R_MIN=0a, G_MIN=01, B_MIN=00, A_MIN=06

Expected: R_MIN=01, G_MIN=02, B_MIN=08, A_MIN=01
Recieved: R_MIN=01, G_MIN=02, B_MIN=08, A_MIN=01

Expected: R_MIN=07, G_MIN=00, B_MIN=00, A_MIN=0b
