Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses,Image
Intel_11gen,skew,8,6381056,6400000,1.0029687876113296,71,49929,1.1.13
Intel_11gen,blurred,16,6182016,6400000,1.0352609892954014,1688,48312,1.1.13
Intel_8gen,skew,128,6243840,6400000,1.0250102501025011,1153,48847,1.1.13
Intel_11gen,strided,64,3617088,6393856,1.7676805209052144,21631,28321,1.1.13
Intel_11gen,strided,128,2074688,6393856,3.0818397754264737,33696,16256,1.1.13
Intel_11gen,random,64,6363008,6400000,1.005813602623162,198,49802,1.1.13
Intel_11gen,skew,16,6369472,6400000,1.0047928619515087,159,49841,1.1.13
Intel_8gen,blurred,256,3446848,6400000,1.8567688508457585,23056,26944,1.1.13
Intel_11gen,blurred,32,5992384,6400000,1.068022343027416,3168,46832,1.1.13
Intel_11gen,skew,32,6351104,6400000,1.0076988189769842,299,49701,1.1.13
Uncompressed,skew,256,6109696,6400000,1.0475152937232883,2268,47732,1.1.13
Intel_11gen,blurred,64,5595200,6400000,1.1438375750643408,6271,43729,1.1.13
Uncompressed,random,256,6294912,6400000,1.0166941174078368,821,49179,1.1.13
Intel_11gen,strided,256,2074688,6393856,3.0818397754264737,33696,16256,1.1.13
Intel_11gen,skew,64,6314432,6400000,1.013551179266797,598,49402,1.1.13
Intel_11gen,random,128,6338816,6400000,1.0096522757562296,384,49616,1.1.13
Intel_11gen,blurred,128,4790016,6400000,1.3361124472235584,12562,37438,1.1.13
Intel_8gen,random,256,6291776,6400000,1.0172008666551384,772,49228,1.1.13
Intel_11gen,skew,128,6250112,6400000,1.0239816502488277,1098,48902,1.1.13
Intel_8gen,skew,256,6106048,6400000,1.0481411217206285,2228,47772,1.1.13
Intel_11gen,blurred,256,3413376,6400000,1.874976562792965,23322,26678,1.1.13
Intel_11gen,random,256,6289920,6400000,1.0175010175010175,773,49227,1.1.13
Intel_11gen,skew,256,6111808,6400000,1.047153313716661,2176,47824,1.1.13
Mali,periodic,4,185437,851968,4.59437976239909,4523,8789,1.1.13
Mali,periodic,1,185437,851968,4.59437976239909,4523,8789,1.1.13
Mali,periodic,8,185437,851968,4.59437976239909,4523,8789,1.1.13
Mali,periodic,32,185437,851968,4.59437976239909,4523,8789,1.1.13
